ID,Address,City,State,ZipCode,Description,Name
1,1140 Amsterdam Ave.,New York,NY,10027,Department of East Asian Languages and Cultures,Chinese
2,1140 Amsterdam Ave.,New York,NY,10027,Department of East Asian Languages and Cultures,Japanese
3,1140 Amsterdam Ave.,New York,NY,10027,Department of East Asian Languages and Cultures,Vietnamese
4,1140 Amsterdam Ave.,New York,NY,10027,Department of East Asian Languages and Cultures,Korean
5,1140 Amsterdam Ave.,New York,NY,10027,Department of East Asian Languages and Cultures,Tibetan
6,1130 Amsterdam Avenue,New York,NY,10027,Department of Slavic Languages,Russian
7,1130 Amsterdam Avenue,New York,NY,10027,Department of Slavic Languages,Slavic
8,612 West 116th Street,New York,NY,10027,Department of Latin American and Iberian Cultures,Spanish
9,612 West 116th Street,New York,NY,10027,Department of Latin American and Iberian Cultures,Portuguese
10,420 West 116th Street,New York,NY,10027,Department of Germanic Languages,German
11,420 West 116th Street,New York,NY,10027,Department of Germanic Languages,Swedish
12,1150 Amsterdam Avenue,New York,NY,10027,Department of French and Romance Philology,French
13,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",Arabic
14,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",African Languages
15,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",Armenian
16,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",Hebrew
17,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",Hindi/Urdu
18,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",Persian
19,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",Sankrit
20,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",Tamil
21,606 West 122nd St,New York,NY,10027,"Department of Middle Eastern, South Asian, and African Studies",Tukish and Ottoman
22,1130 Amsterdam Avenue,New York,NY,10027,Department of Italian,Italian
23,1130 Amsterdam Avenue,New York,NY,10027,Program in Hellenic Studies,Modern Greek
24,1130 Amsterdam Avenue,New York,NY,10027,Department of Classics,Latin
25,1130 Amsterdam Avenue,New York,NY,10027,Department of Classics,Ancient Greek
26,1150 Amsterdam Ave ,New York,NY,10027,Department of English and Comparative Literature,English